step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:5K smpl:122K ep:491 epch:8.19 loss:0.044 grdn:5.046 lr:6.3e-05 updt_s:0.478 data_s:0.006 smp/s:50 mem_gb:6.29 losses_after_forward:0.051 losses_after_in_ep_bound:0.040 losses_after_rm_padding:0.040
step:5K smpl:125K ep:501 epch:8.35 loss:0.043 grdn:4.999 lr:6.2e-05 updt_s:0.479 data_s:0.006 smp/s:49 mem_gb:6.29 losses_after_forward:0.049 losses_after_in_ep_bound:0.039 losses_after_rm_padding:0.039
step:5K smpl:127K ep:510 epch:8.51 loss:0.042 grdn:5.221 lr:6.1e-05 updt_s:0.478 data_s:0.006 smp/s:50 mem_gb:6.29 losses_after_forward:0.049 losses_after_in_ep_bound:0.038 losses_after_rm_padding:0.038
step:5K smpl:130K ep:520 epch:8.67 loss:0.044 grdn:5.292 lr:5.9e-05 updt_s:0.478 data_s:0.006 smp/s:50 mem_gb:6.29 losses_after_forward:0.049 losses_after_in_ep_bound:0.040 losses_after_rm_padding:0.040
step:6K smpl:132K ep:530 epch:8.83 loss:0.042 grdn:5.097 lr:5.8e-05 updt_s:0.478 data_s:0.006 smp/s:50 mem_gb:6.29 losses_after_forward:0.049 losses_after_in_ep_bound:0.038 losses_after_rm_padding:0.038
step:6K smpl:134K ep:539 epch:8.99 loss:0.043 grdn:5.389 lr:5.7e-05 updt_s:0.477 data_s:0.006 smp/s:50 mem_gb:6.29 losses_after_forward:0.050 losses_after_in_ep_bound:0.039 losses_after_rm_padding:0.039
step:6K smpl:137K ep:549 epch:9.15 loss:0.041 grdn:4.937 lr:5.6e-05 updt_s:0.471 data_s:0.019 smp/s:49 mem_gb:6.24 losses_after_forward:0.048 losses_after_in_ep_bound:0.037 losses_after_rm_padding:0.037
step:6K smpl:139K ep:559 epch:9.31 loss:0.040 grdn:5.079 lr:5.4e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.046 losses_after_in_ep_bound:0.036 losses_after_rm_padding:0.036
step:6K smpl:142K ep:568 epch:9.47 loss:0.038 grdn:5.045 lr:5.3e-05 updt_s:0.462 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.045 losses_after_in_ep_bound:0.034 losses_after_rm_padding:0.034
step:6K smpl:144K ep:578 epch:9.63 loss:0.038 grdn:5.030 lr:5.2e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.044 losses_after_in_ep_bound:0.034 losses_after_rm_padding:0.034
